parent_id;theme_name;theme_id;set_name;year;num_parts
1;Technic;4;Reconnaisance Helicopter;1977;364
1;Technic;4;Supplementary Set;1977;78
1;Technic;4;Auto Chassis;1977;608
1;Technic;4;Tractor;1977;324
1;Technic;4;Fork lift truck;1977;216
1;Technic;4;Motor;1977;40
1;Technic;4;Supplementary Set;1977;22
1;Technic;4;Expert Builder/Gear Parts;1978;78
1;Technic;4;Tractor;1978;322
1;Technic;4;Mobile crane;1978;512
1;Technic;4;Go-Kart;1978;211
1;Technic;4;Supplementary Set;1978;77
1;Technic;4;Power Pack;1978;22
1;Technic;4;Auto Chassis;1978;603
1;Technic;4;Go-Kart;1978;211
1;Technic;4;Sky Copter;1978;364
1;Technic;4;Motorcycle with sidecar;1979;409
1;Technic;4;Bulldozer;1979;372
1;Technic;4;Fork Lift;1979;216
1;Technic;4;Bulldozer;1979;372
1;Technic;4;Mobile Crane;1979;512
1;Technic;4;Supplementary Set;1979;22
1;Technic;4;Supplementary Set;1979;87
1;Technic;4;Supplementary Set;1979;52
1;Technic;4;Supplementary Set;1979;30
1;Technic;4;Supplementary Set;1979;38
1;Technic;4;Supplementary Set;1979;38
1;Technic;4;Supplementary Set;1979;38
1;Technic;4;Auto Engines;1980;242
1;Technic;4;Supplementary Set;1980;124
1;Technic;4;LEGO Motorcycle;1980;409
1;Technic;4;Auto Engines;1980;244
1;Technic;4;Car Chassis;1980;676
1;Technic;4;Dune Buggy;1981;174
1;Technic;4;Power Truck;1981;398
1;Technic;4;Helicopter;1981;316
1;Technic;4;Tractor;1981;614
1;Technic;4;Expert Builder Power Pack;1982;27
1;Technic;4;Tow Truck;1982;379
1;Technic;21;TECHNIC Universal Set;1982;277
1;Technic;21;Universal Building Set;1982;141
1;Technic;21;Universal Building Set;1982;141
1;Technic;4;Dragster;1983;250
1;Technic;21;Universal Building Set;1984;162
1;Technic;21;Universal Building Set;1984;119
1;Technic;2;Polar Copter;1986;238
1;Technic;21;Universal Building Set with Motor;1986;186
1;Technic;2;Arctic Rescue Unit;1986;387
1;Technic;21;Universal Building Set;1986;174
1;Technic;2;Arctic Rescue Base;1986;523
1;Technic;2;Snow Scooter;1986;101
1;Technic;19;Action Figures;1988;14
1;Technic;21;Universal Pneumatic Set;1989;198
1;Technic;21;Universal Building Set;1989;196
1;Technic;21;Universal Building Set;1989;114
1;Technic;21;Universal Building Set;1989;187
1;Technic;21;TECHNIC Control Center;1990;548
1;Technic;21;Motorized Universal Building Set;1990;219
